1  2.67246	2.244497e+00	1.161304e-01	1.042622e+00	7.835032e-02	2.324111e-09	2.120890e-09	5.315703e-13	4.711698e-09	2.897008e-12	
1  2.63525	2.245140e+00	1.160446e-01	1.042625e+00	7.914042e-02	2.333307e-09	2.123293e-09	3.951154e-13	4.791514e-09	2.690842e-12	
4  2.16351	2.244337e+00	1.160343e-01	1.042646e+00	7.892170e-02	2.328884e-09	2.120835e-09	3.302965e-13	4.857426e-09	2.255009e-12	
2  2.59789	2.244102e+00	1.157635e-01	1.042660e+00	7.967396e-02	2.328493e-09	2.124407e-09	3.220552e-13	4.894634e-09	2.410115e-12	
4  4.48258	2.240711e+00	1.159094e-01	1.042634e+00	7.841666e-02	2.331891e-09	2.120599e-09	2.177790e-13	4.894464e-09	2.288437e-12	
1  6.13424	2.237818e+00	1.161954e-01	1.042667e+00	7.858695e-02	2.327303e-09	2.121791e-09	2.061381e-13	4.922006e-09	2.162182e-12	
2  5.1969	2.237134e+00	1.159734e-01	1.042663e+00	7.923247e-02	2.313377e-09	2.123818e-09	2.864654e-13	4.871180e-09	2.398215e-12	
3  4.52813	2.237880e+00	1.159765e-01	1.042652e+00	7.811708e-02	2.319335e-09	2.119863e-09	2.569803e-13	4.758735e-09	2.594684e-12	
1  4.95902	2.236216e+00	1.161549e-01	1.042630e+00	7.712748e-02	2.315847e-09	2.115608e-09	2.710649e-13	4.852057e-09	2.552412e-12	
1  6.71876	2.234833e+00	1.164731e-01	1.042616e+00	7.637744e-02	2.309208e-09	2.113764e-09	2.519393e-13	4.879405e-09	1.968395e-12	
1  6.45701	2.237040e+00	1.160366e-01	1.042655e+00	7.707311e-02	2.305242e-09	2.116861e-09	4.600904e-13	4.973932e-09	2.317208e-12	
1  6.02798	2.235881e+00	1.159920e-01	1.042671e+00	7.646392e-02	2.303035e-09	2.114363e-09	3.872740e-13	4.925809e-09	2.451255e-12	
3  6.32164	2.234978e+00	1.162384e-01	1.042651e+00	7.591390e-02	2.309515e-09	2.112486e-09	4.030556e-13	4.860798e-09	2.301019e-12	
1  7.1932	2.234719e+00	1.161467e-01	1.042676e+00	7.583434e-02	2.316572e-09	2.111309e-09	3.739307e-13	4.840538e-09	2.427028e-12	
1  5.68197	2.237097e+00	1.163030e-01	1.042681e+00	7.518903e-02	2.311981e-09	2.107410e-09	4.731363e-13	4.848853e-09	2.924528e-12	
5  4.6415	2.238566e+00	1.164526e-01	1.042692e+00	7.490592e-02	2.316902e-09	2.106578e-09	4.598588e-13	4.928404e-09	2.658170e-12	
3  4.62401	2.238233e+00	1.162568e-01	1.042721e+00	7.460738e-02	2.328667e-09	2.106918e-09	2.274681e-13	4.891118e-09	1.810646e-12	
1  6.46791	2.238198e+00	1.162978e-01	1.042735e+00	7.474037e-02	2.329697e-09	2.107782e-09	4.071405e-13	4.858884e-09	2.870908e-12	
